"location_name","iso3","pp_cov","sp_cov","cause"
"Sao Tome and Principe","STP",0.050974372622594,0.00641659267689666,"istroke"
"Saudi Arabia","SAU",0.141256385184052,0.183423498543634,"istroke"
"Senegal","SEN",0.0490239027868117,0.00438813187228493,"istroke"
"Serbia","SRB",0.162691427913418,0.108915271213553,"istroke"
"Seychelles","SYC",0.179948795656766,0.187294644842851,"istroke"
"Sierra Leone","SLE",0.0445235688600172,0.000369708726149022,"istroke"
"Singapore","SGP",0.319195206980801,0.293098035120137,"istroke"
"Slovakia","SVK",0.249025799032331,0.226437370246547,"istroke"
"Slovenia","SVN",0.165897939421732,0.203590261004956,"istroke"
"Solomon Islands","SLB",0.0348723308016938,0.00291702658669998,"istroke"
"Somalia","SOM",0.0500863110354705,0.000101554576142388,"istroke"
"South Africa","ZAF",0.130749574271853,0.0733719772797221,"istroke"
"South Sudan","SSD",0.0623076299828696,0.00148326228174692,"istroke"
"Spain","ESP",0.230245335807541,0.21637363367701,"istroke"
"Sri Lanka","LKA",0.0952255347952334,0.0185418798558532,"istroke"
"Sudan","SDN",0.0419902026048561,0.000761775724887419,"istroke"
"Suriname","SUR",0.127266638264381,0.0855974792046538,"istroke"
"Sweden","SWE",0.156606520020521,0.206826486786203,"istroke"
"Switzerland","CHE",0.29373565636308,0.263423772451805,"istroke"
"Syrian Arab Republic","SYR",0.111434022539753,0.00146637893397788,"istroke"
"Taiwan (Province of China)","TWN",0.318184752123391,0.254869399906355,"istroke"
"Tajikistan","TJK",0.0429181223266282,0.00677921202252316,"istroke"
"Thailand","THA",0.167298415271213,0.0895226899654651,"istroke"
"Timor-Leste","TLS",0.0637052030204907,0.00829054299185721,"istroke"
"Togo","TGO",0.0486449799445049,0.000403713066945001,"istroke"
"Tonga","TON",0.0524204607282752,0.0299294812359531,"istroke"
"Trinidad and Tobago","TTO",0.140663667691802,0.168232141921457,"istroke"
"Tunisia","TUN",0.086323429307311,0.0179642414442052,"istroke"
"Turkey","TUR",0.206151628139898,0.123095445344748,"istroke"
"Turkmenistan","TKM",0.0680010549798726,0.0904519061167729,"istroke"
"Uganda","UGA",0.0387656345113092,0.000417294934943598,"istroke"
"Ukraine","UKR",0.0828126882879107,0.0199803323215486,"istroke"
"United Arab Emirates","ARE",0.127353577917092,0.184852123983058,"istroke"
"United Kingdom","GBR",0.231446163354605,0.212103737314713,"istroke"
"United Republic of Tanzania","TZA",0.0365801875790748,0.00356565142438916,"istroke"
"United States of America","USA",0.381078051827482,0.291369933553653,"istroke"
"Uruguay","URY",0.195189302604312,0.168861134187053,"istroke"
"Uzbekistan","UZB",0.0989120256197635,0.015054308022863,"istroke"
"Vanuatu","VUT",0.0271748585074194,0.00363775100629171,"istroke"
"Venezuela (Bolivarian Republic of)","VEN",0.197371547756491,0.0972427608856035,"istroke"
"Viet Nam","VNM",0.0723114702566782,0.00966964474596468,"istroke"
"Yemen","YEM",0.0895346076093567,0.000763634724932089,"istroke"
"Zambia","ZMB",0.0471920750955297,0.00572039091344853,"istroke"
"Zimbabwe","ZWE",0.0815491571485951,0.00517340794710996,"istroke"
"Afghanistan","AFG",0.0775696330870099,0.000616157857997943,"hstroke"
"Albania","ALB",0.0546817751967151,0.0515275666522732,"hstroke"
"Algeria","DZA",0.0914743044832483,0.0166915859700791,"hstroke"
"Andorra","AND",0.27331946694578,0.272660293272904,"hstroke"
"Angola","AGO",0.0658792653269848,0.0065668477309737,"hstroke"
"Antigua and Barbuda","ATG",0.148568593120298,0.150368560354075,"hstroke"
"Argentina","ARG",0.0982866495957028,0.0793979004745188,"hstroke"
"Armenia","ARM",0.0527687709640891,0.0368334443249647,"hstroke"
"Australia","AUS",0.201232676175769,0.217781177273737,"hstroke"
"Austria","AUT",0.20799446082168,0.23870701705076,"hstroke"
"Azerbaijan","AZE",0.0813422717396868,0.0669606353911411,"hstroke"
"Bahamas","BHS",0.148400924758233,0.177671618710709,"hstroke"
"Bahrain","BHR",0.124565898493061,0.164007129093914,"hstroke"
"Bangladesh","BGD",0.081701525079472,0.00648007779912344,"hstroke"
"Barbados","BRB",0.219467680340965,0.1554522802199,"hstroke"
"Belarus","BLR",0.0633746084878248,0.0719349418215814,"hstroke"
"Belgium","BEL",0.292721521924105,0.249976486027225,"hstroke"
"Belize","BLZ",0.122428930765941,0.0144128564643122,"hstroke"
"Benin","BEN",0.0504227688746335,0.00284861236698638,"hstroke"
"Bhutan","BTN",0.0492309497013869,0.00842314380831555,"hstroke"
"Bolivia (Plurinational State of)","BOL",0.153273472267961,0.013623610850522,"hstroke"
"Bosnia and Herzegovina","BIH",0.106241899377804,0.0770182262659413,"hstroke"
"Botswana","BWA",0.101831274542559,0.063232745264575,"hstroke"
"Brazil","BRA",0.208486694178139,0.104375483937456,"hstroke"
"Brunei Darussalam","BRN",0.224315695416694,0.256040835135655,"hstroke"
