"location_name","iso3","pp_cov","sp_cov"
"Argentina","ARG",0.0982866495957028,0.0793979004745188
"Armenia","ARM",0.0527687709640891,0.0368334443249647
"Australia","AUS",0.201232676175769,0.217781177273737
"Austria","AUT",0.20799446082168,0.23870701705076
"Azerbaijan","AZE",0.0813422717396868,0.0669606353911411
"Bahamas","BHS",0.148400924758233,0.177671618710709
"Bahrain","BHR",0.124565898493061,0.164007129093914
"Bangladesh","BGD",0.081701525079472,0.00648007779912344
"Barbados","BRB",0.219467680340965,0.1554522802199
"Belarus","BLR",0.0633746084878248,0.0719349418215814
"Belgium","BEL",0.292721521924105,0.249976486027225
"Belize","BLZ",0.122428930765941,0.0144128564643122
"Benin","BEN",0.0504227688746335,0.00284861236698638
"Bhutan","BTN",0.0492309497013869,0.00842314380831555
"Bolivia (Plurinational State of)","BOL",0.153273472267961,0.013623610850522
"Bosnia and Herzegovina","BIH",0.106241899377804,0.0770182262659413
"Botswana","BWA",0.101831274542559,0.063232745264575
"Brazil","BRA",0.208486694178139,0.104375483937456
"Brunei Darussalam","BRN",0.224315695416694,0.256040835135655
"Bulgaria","BGR",0.153702605345382,0.108758446686639
"Burkina Faso","BFA",0.0434593696877826,0.000240224010043406
"Burundi","BDI",0.0573590321235594,0.000145103426722971
"Cabo Verde","CPV",0.0747378168805837,0.00951244052411665
"Cambodia","KHM",0.11746579350651,0.0061407480317728
"Cameroon","CMR",0.0375198059718392,0.00305332491693294
"Canada","CAN",0.468199043174673,0.289711702175881
"Central African Republic","CAF",0.031053560341979,0.000112383778860624
"Chad","TCD",0.0598331336274364,0.000348975833752214
"Chile","CHL",0.223929135779199,0.180031579071249
"China","CHN",0.0995241735219036,0.0666991220811037
"Colombia","COL",0.199305254633864,0.0857306043314198
"Comoros","COM",0.0580302959544666,0.00212598869341255
"Congo","COG",0.0515599125981508,0.00545650566935987
"Costa Rica","CRI",0.316694740771892,0.125929614011998
"Croatia","HRV",0.136299410626006,0.174798511331467
"Cuba","CUB",0.201132814448597,0.0755895815228833
"Cyprus","CYP",0.237458934915038,0.20259221573792
"Czechia","CZE",0.268031141033038,0.237101625670675
"Côte d'Ivoire","CIV",0.0465413899886606,0.0041016228921292
"Democratic People's Republic of Korea","PRK",0.12928672495307,0.000626727989639102
"Democratic Republic of the Congo","COD",0.0620362164214753,0.000186898932843217
"Denmark","DNK",0.0815760503547993,0.1624085361239
"Djibouti","DJI",0.0600710100773476,0.00396990881195781
"Dominica","DMA",0.106842636039177,0.0606703025209637
"Dominican Republic","DOM",0.130863102909227,0.0858787395200692
"Ecuador","ECU",0.173868579281704,0.0680714275246995
"Egypt","EGY",0.108053891745074,0.01657606623542
"El Salvador","SLV",0.223209681286903,0.0215674532119183
"Equatorial Guinea","GNQ",0.0702471245030959,0.0690335912992371
"Eritrea","ERI",0.06854188635412,0.000280373756887947
"Estonia","EST",0.106231620203796,0.140827734595242
"Eswatini","SWZ",0.0656127191501087,0.0103518118930019
"Ethiopia","ETH",0.0313709875052252,0.000187331054782347
"Fiji","FJI",0.0718891251204892,0.0388042009011262
"Finland","FIN",0.21587254904703,0.224635752318402
"France","FRA",0.215902949011632,0.223593970835112
"Gabon","GAB",0.074622273977798,0.0498384094029552
"Gambia","GMB",0.0487421862559881,0.000333109183869206
"Georgia","GEO",0.104746579711166,0.0645298427698108
"Germany","DEU",0.354691523295923,0.267759738427458
"Ghana","GHA",0.0977177710320717,0.00632395597300281
"Greece","GRC",0.243666539853146,0.211961853486956
"Grenada","GRD",0.118990798718342,0.0769284204658926
"Guatemala","GTM",0.105400466042436,0.0348485971214751
"Guinea","GIN",0.0366215845558292,0.000273475869858545
"Guinea-Bissau","GNB",0.0575903889959539,0.000277675167410097
"Guyana","GUY",0.117290225543796,0.0485194294051421
"Haiti","HTI",0.0436098428388878,0.00256316323938101
"Honduras","HND",0.182554728715918,0.0132382010016857
"Hungary","HUN",0.16205439252193,0.184182552476393
"Iceland","ISL",0.395554580849768,0.284580554718605
"India","IND",0.0847280649039034,0.00817555502939882
"Indonesia","IDN",0.0258171453792817,0.0083847067064681
"Iran (Islamic Republic of)","IRN",0.143691203721471,0.0230811998415611
"Iraq","IRQ",0.0728972013308214,0.0591944431104448
"Ireland","IRL",0.195950979521129,0.224402743500658
"Israel","ISR",0.196757161893282,0.201526165180652
"Italy","ITA",0.210355815421207,0.220498385330553
"Jamaica","JAM",0.111880896738804,0.0571412537940788
"Japan","JPN",0.229760217378111,0.221328756128164
"Jordan","JOR",0.18223453908542,0.0745772545039458
"Kazakhstan","KAZ",0.198165024078771,0.14529390337633
"Kenya","KEN",0.0298435068690187,0.00234420053983226
"Kiribati","KIR",0.0350749792609029,0.00178140920844052
